#     RA       Dec
#
 14.4774  10.6465
 15.0262  10.3556
 13.4787   9.1607
 16.0303   9.3016
 13.8448  10.1523
 14.8823  10.1870
 16.1140   9.8177
 14.8881   9.9058
 13.9913   8.0553
 14.3912   9.7788
 14.9863   9.6211
 14.9823   9.9673
 15.4220   9.7531
 15.2884  10.6824
 13.4794   9.2012
 14.2303   9.5917
 17.1767  10.7910
 15.6949   9.4810
 16.0053  10.3001
 15.6285  10.5725
 13.8568   9.9192
 13.3682  11.0689
 14.1995  11.8029
 13.6602   9.0714
 14.0319  10.0529
 13.9510   8.3953
 14.3368  10.2248
 12.7691  10.1914
 15.1367  10.9703
 14.8008   8.9179
 15.3552   8.9068
 15.9624  10.6106
 16.7045   9.4378
 14.4367   9.2022
 16.5159  11.1602
 15.3693  10.7187
 14.7385  12.2228
 14.4645   9.9066
 15.2493  10.3570
 14.7166  11.1082
 15.1850   8.8341
 16.4895  10.6370
 16.1192   9.9938
 13.6917  10.1415
 15.3107  10.1407
 17.2086   9.6879
 15.9732   9.7749
 16.4962   9.6807
 15.1397   9.9844
 14.0020  10.4596
 15.7162  10.0780
 16.1450   9.0891
 14.0034  10.4250
 16.3131  10.7481
 15.7989   9.9642
 13.5005  10.1406
 15.5400   9.9417
 15.8950  10.4768
 14.6683  10.3459
 16.1025   8.0783
 15.2025  11.0454
 15.7478   9.5238
 15.4402  10.9224
 15.5733   8.8420
 15.3358  10.8776
 15.1560  11.2474
 15.7491  10.4267
 14.6903   9.5914
 15.9807  10.8852
 15.7223   8.5188
 14.8467   9.3602
 16.9540   9.7650
 14.4402  10.8163
 14.9834  10.0312
 16.1472   9.9687
 13.4930   9.5875
 14.0394  10.5633
 15.3925  10.5746
 14.7254  11.3314
 14.7665  10.9281
 14.9526  11.1895
 15.7948  10.0752
 13.9847   9.8964
 16.2130  11.6299
 14.1915   9.8428
 14.9313   9.8536
 14.2886   8.4230
 15.4879  10.6567
 15.9240   8.4169
 15.5396  10.9040
 13.7466  11.6275
 14.3914  10.9753
 15.3656  10.9890
 14.8151  11.1244
 15.4116   9.9968
 15.2176   9.4695
 15.4684  10.4444
 14.7207  11.8497
 13.2461  10.4658
 15.0766   9.7685
 16.4026  11.4116
 15.8717  10.5515
 14.7438   9.0918
 14.3975   9.8421
 14.0675   9.9827
 14.9495  10.3833
 16.6156   8.7276
 14.6856  10.5073
 15.8081   9.6575
 14.1947  10.3051
 12.9233  10.2472
 15.2141   7.8967
 13.9585   9.8561
 13.9679   9.6661
 14.4030   9.7601
 15.3143  10.4849
 14.6817  10.4952
 15.0740   9.5823
 14.4755  10.0196
 13.7930  10.9850
 15.7864   8.8026
 14.4463   9.5564
 17.1301  10.9003
 15.5889  10.5609
 14.1208   9.4181
 13.5877  10.9002
 15.2851  10.5564
 16.1347  10.9769
 13.7758   9.4150
 15.9089  11.4624
 16.4795  11.4605
 13.9044  10.0383
 14.6829   9.1753
 16.2164  11.1701
 13.6569  10.9118
 14.7472  10.7660
 15.5432   9.1452
 14.5163  10.9897
 16.5113   8.8057
 15.3270   9.9657
 15.9212  10.5218
 15.5995  10.6263
 15.3911  10.4567
 16.9187  11.0904
 16.2911  11.7624
 12.7024   9.9348
 16.4649   9.8119
 15.1264  10.1550
 15.8784  10.3562
 14.6131   9.7943
 13.7940   9.7224
 15.7719   8.6437
 14.3175  10.8477
 15.6907  10.9857
 16.6945   9.3782
 14.0707  10.5126
 13.4761  10.0075
 15.3131  11.7742
 15.8174   9.7420
 16.1167   8.2471
 16.1175  10.2868
 14.9469   8.7243
 16.1626  11.3885
 13.6835   9.9622
 14.0400  11.7480
 15.8915   9.6599
 13.3373   9.1818
 13.3323   9.2821
 13.6713  11.2674
 14.3878   9.4445
 14.3556   8.0714
 13.9872  10.0851
 16.2977  10.1647
 15.5602   9.5094
 13.6675  10.3978
 16.0072   9.6388
 14.2824  10.3077
 12.7164  10.3089
 17.0443  10.6146
 14.4315   9.3545
 14.2187   9.0705
 14.1278   8.9235
 14.4001   9.2631
 14.3945   9.7233
 14.8846  11.0613
 12.8714   9.5751
 13.1832   9.4912
 13.9924   9.9006
 15.6196  10.1622
 13.8409   9.5700
 14.7864  10.2663
 14.5760  10.8176
 14.6508   9.8484
 15.5642  10.1272
 13.7883  10.7251
 14.3756  10.8619
 14.6983   9.5777
 15.8491   9.6793
 14.6523   9.5787
 15.0431   9.7587
 13.5611   9.0036
 15.6396  10.0405
 13.7498  11.0373
 14.5638   7.9261
 14.2656  10.0334
 16.3429   8.1415
 15.9762  11.1356
 14.5974  11.0335
 13.9273  11.0443
 14.2739   9.7814
 15.6623  10.1769
 16.0815  10.3947
 15.6814   9.8345
 16.6755   8.6097
 15.5734  10.0356
 15.6194   9.8945
 14.3735   9.2724
 14.4255   9.5035
 14.5422  10.4649
 14.8740  10.7656
 15.8871  10.5082
 16.2005   8.5488
 14.6175  10.3487
 15.4740  10.6114
 15.2831  11.0201
 15.8179  10.3950
 15.5381  11.2687
 14.5480   9.4220
 16.5521  10.2035
 15.3030   8.0393
 15.9329   9.8195
 14.9677   8.7617
 15.6544   8.9013
 16.7621  10.1320
 14.0915   9.5917
 15.6842   9.8563
 16.6869  10.3538
 15.6434  10.1456
 17.0310  10.9718
 14.1145   9.5480
 15.7946   9.6997
 15.4601   8.5609
 14.2985  11.6791
 15.6059   9.8968
 14.4282  10.4296
 15.1191   9.6649
 13.9413  10.2628
 14.5712  10.5210
 15.0576   9.2628
 15.4352   9.2489
 14.9060  11.4083
 12.6928   9.9902
 15.1254  10.2626
 15.3704  10.6854
 13.7159   9.5106
 16.0543  11.3322
 13.5983   8.2752
 14.5453  10.6724
 13.7427   9.0701
 15.4956   9.8822
 14.5255   9.3098
 13.9349   8.9871
 15.4060  10.4302
 15.2500   9.3972
 14.8386  11.1258
 14.6396   9.0270
 15.5422  12.0800
 16.1831   8.1491
 15.7199   9.5308
 13.7151  10.9557
 14.6032  10.5742
 14.6034   8.3135
 16.7416  10.5237
 13.0990  11.2497
 15.3323  10.3705
 15.6661  12.1725
 12.9849   8.9319
 14.5462   9.0759
 15.6266  10.6510
 13.0433  10.7680
 13.3533   8.5867
 15.4165   9.8197
 13.8699  11.1623
 15.0314  10.4664
 15.2708   9.4209
 13.8096  10.4615
 16.7430   8.9163
 14.2169  10.0761
 15.8545   7.8769
 15.9293   9.3981
 14.8579  10.6013
 14.7768  11.0459
 16.1606  11.0031
 15.7766  10.4562
 15.4802   9.7368
 14.9895  10.8091
 17.0211  10.9475
 16.4218  10.7494
 13.6145  11.4008
 14.7108   9.9517
 14.3457  10.2770
 14.2923  10.7973
 14.5465  10.9846
 12.7819  10.3958
 15.9778  10.4281
 15.2486   9.1281
 15.8020  10.0486
 13.4720  10.3272
 13.5869   9.6673
 16.3993   9.6935
 15.5743   9.7866
 14.2162   9.7117
 15.9708   9.8187
 14.9018   8.8171
 15.2174  10.1388
 13.6593  10.7610
 13.7194   9.4707
 15.0407  11.3721
 14.0415  10.2950
 14.9776  11.0987
